Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
Prisoners,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_154,2013,R,848000,8.2,Denis Villeneuve,153,Psychological Thriller
Finding Nemo,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_155,2003,G,1100000,8.2,Andrew Stanton,100,Animal Adventure
The Great Escape,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_156,1963,Approved,265000,8.2,John Sturges,172,Period Drama
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_157,1975,PG,581000,8.2,Terry Gilliam,91,Parody
The Wild Robot,https://www.imdb.com/title/tt29623480/?ref_=chttp_t_158,2024,PG,105000,8.2,Chris Sanders,102,Computer Animation
Howl's Moving Castle,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_159,2004,PG,471000,8.2,Hayao Miyazaki,119,Adventure Epic
The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160,1980,PG,266000,8.2,David Lynch,124,Docudrama
Dial M for Murder,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_161,1954,PG,195000,8.2,Alfred Hitchcock,105,Crime
Rashomon,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_162,1950,Not Rated,186000,8.2,Akira Kurosawa,88,Period Drama
Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163,1939,G,342000,8.2,Victor Fleming,238,Costume Drama
Chinatown,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_164,1974,R,360000,8.1,Roman Polanski,130,Conspiracy Thriller
The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165,2009,R,229000,8.2,Juan José Campanella,129,Dark Romance
"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_166,1998,R,629000,8.1,Guy Ritchie,107,Farce
V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_167,2005,R,1200000,8.1,James McTeigue,132,Dystopian Sci-Fi
Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_168,2015,PG,847000,8.1,Pete Docter,95,Coming-of-Age
Klaus,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_169,2019,PG,207000,8.2,Sergio Pablos,96,Hand-Drawn Animation
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=chttp_t_170,2017,R,572000,8.1,Martin McDonagh,115,Dark Comedy
Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_171,1980,R,390000,8.1,Martin Scorsese,129,Boxing
Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_172,1996,R,741000,8.1,Danny Boyle,93,Dark Comedy
The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_173,1957,PG,239000,8.1,David Lean,161,Jungle Adventure
Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_174,2002,PG-13,1100000,8.1,Steven Spielberg,141,Caper
Fargo,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_175,1996,R,743000,8.1,Joel Coen,98,Cop Drama
Warrior,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_176,2011,PG-13,508000,8.1,Gavin O'Connor,140,Boxing
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_177,2011,PG-13,978000,8.1,David Yates,130,Dark Fantasy
Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_178,2008,R,830000,8.1,Clint Eastwood,116,Drama
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_179,2021,PG-13,924000,8.2,Jon Watts,148,Superhero
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,https://www.imdb.com/title/tt16492678/?ref_=chttp_t_180,2021,Not Rated,28000,8.7,Haruo Sotozaki,87,Anime
Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_181,2004,PG-13,737000,8.1,Clint Eastwood,132,Boxing
My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_182,1988,G,397000,8.1,Hayao Miyazaki,86,Anime
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_183,2015,R,1100000,8.1,George Miller,120,Action Epic
Ben-Hur,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_184,1959,G,260000,8.1,William Wyler,212,Adventure Epic
Children of Heaven,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_185,1997,PG,84000,8.2,Majid Majidi,89,Drama
12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_186,2013,R,756000,8.1,Steve McQueen,134,Costume Drama
Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_187,1975,PG,189000,8.1,Stanley Kubrick,185,Costume Drama
Blade Runner,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_188,1982,R,843000,8.1,Ridley Scott,117,Artificial Intelligence
Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_189,1995,R,352000,8.1,Richard Linklater,101,Drama
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_190,2014,R,911000,8.1,Wes Anderson,99,Caper
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_191,2016,R,621000,8.1,Mel Gibson,139,Docudrama
Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_192,1989,PG,575000,8.1,Peter Weir,128,Coming-of-Age
